 ==  = 
|    Run | Delivered LS |     Delivered |          Selected LS |      Recorded |
| 172999 |          304 |   8.993 (/pb) |     [1-71], [77-294] |   8.670 (/pb) |
| 173198 |          838 |  30.302 (/pb) | [49-322], [324-356], |  28.556 (/pb) |
|        |              |               |           [362-485], |               |
|        |              |               | [488-768], [770-823] |               |
| 173236 |          245 |  10.240 (/pb) |            [128-231] |   4.712 (/pb) |
| 173240 |          144 |   6.314 (/pb) |              [1-124] |   5.248 (/pb) |
| 173241 |          765 |  28.901 (/pb) |    [1-85], [92-381], |  27.719 (/pb) |
|        |              |               |            [388-759] |               |
| 173243 |           97 |   3.195 (/pb) |               [1-89] |   2.858 (/pb) |
| 173380 |          225 |   8.270 (/pb) | [75-204], [209-209], |   5.439 (/pb) |
|        |              |               |            [217-217] |               |
| 173381 |          313 |  11.138 (/pb) |  [1-134], [139-221], |  10.342 (/pb) |
|        |              |               | [226-226], [231-294] |               |
| 173389 |          672 |  26.517 (/pb) | [18-106], [111-169], |  23.507 (/pb) |
|        |              |               |           [174-224], |               |
|        |              |               | [230-262], [276-653] |               |
| 173406 |          304 |  12.055 (/pb) |             [37-285] |  11.013 (/pb) |
| 173430 |          176 |   6.521 (/pb) |             [72-163] |   4.113 (/pb) |
| 173438 |           72 |   3.121 (/pb) |              [32-56] |   1.004 (/pb) |
| 173439 |          764 |  33.913 (/pb) |  [1-274], [280-313], |  31.994 (/pb) |
|        |              |               | [319-467], [472-756] |               |
| 173657 |          101 |   2.878 (/pb) |              [59-93] |   1.287 (/pb) |
| 173658 |          118 |   5.043 (/pb) |              [1-110] |   4.109 (/pb) |
| 173659 |          327 |  12.699 (/pb) |     [1-61], [66-317] |  11.908 (/pb) |
| 173660 |          377 |  12.914 (/pb) |    [1-81], [86-164], |  11.768 (/pb) |
|        |              |               | [169-357], [359-362] |               |
| 173661 |          139 |   4.381 (/pb) |     [1-56], [62-63], |   3.555 (/pb) |
|        |              |               |             [65-125] |               |
| 173663 |          132 |   3.949 (/pb) |     [1-71], [73-120] |   3.443 (/pb) |
| 173664 |          314 |   7.861 (/pb) |               [5-16] | 344.022 (/nb) |
| 173692 |         2801 |  83.583 (/pb) | [50-143], [149-468], |  79.903 (/pb) |
|        |              |               |          [474-1123], |               |
|        |              |               |         [1129-1162], |               |
|        |              |               |         [1168-1321], |               |
|        |              |               |         [1326-1361], |               |
|        |              |               |         [1366-1383], |               |
|        |              |               |         [1389-1431], |               |
|        |              |               |         [1436-1818], |               |
|        |              |               |         [1824-2361], |               |
|        |              |               |         [2366-2710], |               |
|        |              |               |          [2715-2754] |               |
| 175860 |           88 |   1.472 (/pb) |               [1-82] |   1.303 (/pb) |
| 175863 |           87 |   1.392 (/pb) |               [1-75] |   1.142 (/pb) |
| 175865 |           70 |   1.082 (/pb) |               [1-58] | 845.582 (/nb) |
| 175866 |          551 |   7.412 (/pb) |   [1-353], [356-511] |   7.028 (/pb) |
| 175872 |           97 |   2.337 (/pb) |              [60-90] |   1.282 (/pb) |
