 ==  = 
|    Run | Delivered LS |     Delivered |          Selected LS |      Recorded |
|        |              |               |           [382-558], |               |
|        |              |               |           [560-660], |               |
|        |              |               |          [663-1050], |               |
|        |              |               |          [1053-1059] |               |
| 178367 |          751 |  30.702 (/pb) | [22-135], [138-161], |  27.818 (/pb) |
|        |              |               |           [163-264], |               |
|        |              |               |           [266-316], |               |
|        |              |               |           [318-366], |               |
|        |              |               |           [369-392], |               |
|        |              |               |           [395-548], |               |
|        |              |               | [560-711], [713-737] |               |
| 178380 |          253 |   6.408 (/pb) |     [1-81], [84-195] |   6.252 (/pb) |
| 178420 |           77 |   3.006 (/pb) |     [53-61], [63-70] | 456.334 (/nb) |
| 178421 |         1218 |  67.125 (/pb) |      [1-3], [47-77], |  59.639 (/pb) |
|        |              |               | [79-135], [137-149], |               |
|        |              |               |           [151-265], |               |
|        |              |               |           [268-293], |               |
|        |              |               |           [295-320], |               |
|        |              |               |           [323-512], |               |
|        |              |               |           [514-586], |               |
|        |              |               |           [588-742], |               |
|        |              |               |           [744-756], |               |
|        |              |               |           [759-915], |               |
|        |              |               |           [917-1207] |               |
| 178424 |          898 |  32.351 (/pb) |  [1-536], [538-594], |  30.332 (/pb) |
|        |              |               |            [597-837] |               |
| 178479 |         1084 |  58.001 (/pb) |   [61-64], [66-129], |  54.442 (/pb) |
|        |              |               |           [132-245], |               |
|        |              |               |           [247-354], |               |
|        |              |               |           [356-576], |               |
|        |              |               |           [578-985], |               |
|        |              |               |           [988-1004] |               |
| 178703 |          190 |  11.958 (/pb) |             [43-183] |   8.930 (/pb) |
| 178708 |          381 |  23.554 (/pb) |              [1-374] |  22.042 (/pb) |
| 178712 |          417 |  21.937 (/pb) |    [1-42], [44-197], |  19.945 (/pb) |
|        |              |               | [199-333], [336-394] |               |
| 178724 |          286 |  13.337 (/pb) |              [3-261] |  11.834 (/pb) |
| 178731 |          223 |   9.583 (/pb) |              [1-208] |   8.692 (/pb) |
| 178738 |          282 |   9.824 (/pb) |   [1-143], [145-252] |   9.590 (/pb) |
| 178786 |          235 |  13.573 (/pb) |   [53-67], [70-117], |   8.799 (/pb) |
|        |              |               |           [123-135], |               |
|        |              |               |           [138-163], |               |
|        |              |               |           [166-166], |               |
|        |              |               |           [169-169], |               |
|        |              |               |           [195-202], |               |
|        |              |               | [205-218], [220-227] |               |
| 178803 |          552 |  28.430 (/pb) | [49-115], [117-316], |  26.116 (/pb) |
|        |              |               |            [319-457] |               |
| 178840 |          609 |  38.584 (/pb) | [48-119], [122-336], |  35.120 (/pb) |
|        |              |               |           [339-341], |               |
|        |              |               | [343-566], [569-597] |               |
| 178854 |          148 |   8.539 (/pb) |              [1-134] |   7.437 (/pb) |
| 178866 |          434 |  22.658 (/pb) |              [1-424] |  21.563 (/pb) |
| 178871 |         1291 |  51.523 (/pb) |     [1-64], [67-71], |  50.191 (/pb) |
|        |              |               | [73-156], [159-380], |               |
|        |              |               |           [382-466], |               |
|        |              |               |          [468-1181], |               |
|        |              |               |          [1184-1273] |               |
| 178920 |          308 |  18.510 (/pb) |             [53-291] |  16.565 (/pb) |
| 178970 |          589 |  36.487 (/pb) |  [52-242], [244-581] |  33.866 (/pb) |
| 178985 |           91 |   4.335 (/pb) |               [1-81] |   4.100 (/pb) |
| 179411 |          121 |   7.007 (/pb) |              [1-112] |   6.658 (/pb) |
| 179434 |          767 |  47.438 (/pb) | [21-289], [291-388], |  42.991 (/pb) |
|        |              |               | [390-607], [609-748] |               |
| 179452 |         1247 |  55.447 (/pb) |  [1-108], [110-121], |  52.953 (/pb) |
|        |              |               |           [124-158], |               |
|        |              |               |           [160-276], |               |
|        |              |               |           [278-289], |               |
|        |              |               |           [292-515], |               |
|        |              |               |           [518-830], |               |
