 ==  = 
|    Run:Fill | Delivered LS |     Delivered |          Selected LS |      Recorded |
|             |              |               |            [401-468] |               |
| 178116:2197 |          631 |  34.021 (/pb) |              [1-615] |  33.111 (/pb) |
| 178151:2199 |          135 |   6.019 (/pb) |             [47-122] |   5.162 (/pb) |
| 178160:2200 |          554 |  34.289 (/pb) |             [51-534] |  31.729 (/pb) |
| 178162:2200 |          193 |   9.600 (/pb) |              [1-175] |   9.247 (/pb) |
| 178365:2204 |         1103 |  65.550 (/pb) |            [43-1059] |  59.830 (/pb) |
| 178367:2204 |          751 |  30.967 (/pb) | [22-135], [137-161], |  28.178 (/pb) |
|             |              |               |           [163-264], |               |
|             |              |               |           [266-316], |               |
|             |              |               |           [318-366], |               |
|             |              |               | [369-392], [395-737] |               |
| 178380:2204 |          253 |   6.439 (/pb) |              [1-195] |   6.352 (/pb) |
| 178420:2208 |           77 |   3.122 (/pb) |     [53-61], [63-70] | 475.247 (/nb) |
| 178421:2208 |         1218 |  68.552 (/pb) |  [1-135], [137-1207] |  63.128 (/pb) |
| 178424:2208 |          898 |  32.553 (/pb) |              [1-837] |  30.629 (/pb) |
| 178479:2210 |         1084 |  59.524 (/pb) |            [61-1004] |  56.350 (/pb) |
| 178667:2215 |          110 | 345.054 (/nb) |    [80-89], [91-91], |  19.709 (/nb) |
|             |              |               |              [93-96] |               |
| 178675:2215 |           29 | 124.931 (/nb) |               [1-22] |  36.218 (/nb) |
| 178677:2215 |            9 |  25.599 (/nb) |                [1-9] |   5.674 (/nb) |
| 178703:2216 |          190 |  12.405 (/pb) |             [43-183] |   9.265 (/pb) |
| 178708:2216 |          381 |  24.167 (/pb) |              [1-374] |  22.616 (/pb) |
| 178712:2216 |          417 |  22.305 (/pb) |              [1-394] |  20.490 (/pb) |
| 178724:2216 |          286 |  13.497 (/pb) |              [1-261] |  11.982 (/pb) |
| 178731:2216 |          223 |   9.675 (/pb) |              [1-208] |   8.776 (/pb) |
| 178738:2216 |          282 |   9.902 (/pb) |              [1-252] |   9.705 (/pb) |
| 178786:2217 |          235 |  14.078 (/pb) | [53-119], [121-163], |   9.918 (/pb) |
|             |              |               |           [166-166], |               |
|             |              |               | [169-169], [195-227] |               |
| 178803:2218 |          552 |  29.380 (/pb) |             [49-457] |  27.187 (/pb) |
| 178840:2219 |          609 |  39.810 (/pb) |             [48-597] |  36.697 (/pb) |
| 178854:2219 |          148 |   8.716 (/pb) |              [1-134] |   7.592 (/pb) |
| 178866:2219 |          434 |  23.019 (/pb) |              [1-424] |  21.907 (/pb) |
| 178871:2219 |         1291 |  51.943 (/pb) |             [1-1273] |  50.988 (/pb) |
| 178920:2220 |          308 |  19.238 (/pb) |             [53-291] |  17.213 (/pb) |
| 178970:2222 |          589 |  37.612 (/pb) |             [52-581] |  34.971 (/pb) |
| 178985:2222 |           91 |   4.421 (/pb) |               [1-81] |   4.182 (/pb) |
| 179411:2239 |          121 |   7.198 (/pb) |              [1-112] |   6.839 (/pb) |
| 179434:2240 |          767 |  48.673 (/pb) |             [21-748] |  44.282 (/pb) |
| 179452:2240 |         1247 |  56.043 (/pb) |  [1-108], [110-1233] |  54.073 (/pb) |
| 179476:2240 |          232 |   7.438 (/pb) |              [1-207] |   7.012 (/pb) |
| 179497:2241 |          439 |  28.111 (/pb) |             [86-434] |  21.194 (/pb) |
| 179547:2242 |          350 |  23.511 (/pb) |  [75-162], [164-338] |  18.355 (/pb) |
| 179558:2242 |          142 |   9.672 (/pb) |              [1-134] |   8.647 (/pb) |
| 179563:2242 |         1192 |  64.156 (/pb) |  [1-968], [970-1186] |  62.405 (/pb) |
| 179889:2254 |          539 |  34.696 (/pb) |             [51-535] |  32.506 (/pb) |
| 179959:2256 |          114 |   4.147 (/pb) |              [69-86] |   1.239 (/pb) |
| 179977:2258 |          160 |   9.271 (/pb) |  [44-114], [116-137] |   6.639 (/pb) |
| 180072:2261 |          107 |   5.731 (/pb) |             [49-102] |   3.484 (/pb) |
| 180076:2261 |          364 |  24.048 (/pb) |              [1-356] |  22.223 (/pb) |
| 180093:2261 |          353 |  19.130 (/pb) |              [1-346] |  18.225 (/pb) |
| 180241:2266 |          444 |  27.795 (/pb) |             [55-416] |  24.901 (/pb) |
| 180250:2267 |          547 |  39.835 (/pb) |     [3-82], [84-539] |  37.480 (/pb) |
| 180252:2267 |           93 |   5.464 (/pb) |               [1-79] |   4.700 (/pb) |

 ==  =  Total : 
| Delivered LS | Delivered(/fb) | Selected LS | Recorded(/fb) |
---------------------------------------------------------------
|        60734 |          2.979 |       54181 |         2.658 |

