 ==  = 
|    Run |             SelectedLS |     Recorded |                HLTpath |              L1bit |    Effective |
| 166563 |     [1-276], [492-748] |  10.603(/pb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) |  10.603(/pb) |
|        |                        |              |             IsoL_v2(1) |                    |              |
| 166563 |     [1-276], [492-748] |  10.603(/pb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) | 530.126(/nb) |
|        |                        |              |                  v2(1) |                    |              |
| 166565 |    [1-147], [153-312], |  14.947(/pb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) |  14.947(/pb) |
|        |   [316-467], [469-898] |              |             IsoL_v2(1) |                    |              |
| 166565 |    [1-147], [153-312], |  14.947(/pb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) | 993.831(/nb) |
|        |   [316-467], [469-898] |              |                  v2(1) |                    |              |
| 166699 |   [55-234], [240-415], |  17.715(/pb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) |  17.696(/pb) |
|        |  [421-477], [483-677], |              |             IsoL_v2(1) |                    |              |
|        |              [681-911] |              |                        |                    |              |
| 166699 |   [55-234], [240-415], |  17.715(/pb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) | 884.816(/nb) |
|        |  [421-477], [483-677], |              |                  v2(1) |                    |              |
|        |              [681-911] |              |                        |                    |              |
| 166701 |      [1-13], [16-319], |  12.494(/pb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) |  12.494(/pb) |
|        |  [324-506], [513-551], |              |             IsoL_v2(1) |                    |              |
|        |  [557-672], [681-705], |              |                        |                    |              |
|        |  [712-724], [731-757], |              |                        |                    |              |
|        |   [764-777], [783-792] |              |                        |                    |              |
| 166701 |      [1-13], [16-319], |  12.494(/pb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) | 810.395(/nb) |
|        |  [324-506], [513-551], |              |                  v2(1) |                    |              |
|        |  [557-672], [681-705], |              |                        |                    |              |
|        |  [712-724], [731-757], |              |                        |                    |              |
|        |   [764-777], [783-792] |              |                        |                    |              |
| 166763 |    [46-168], [174-650] |  13.383(/pb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) |  13.383(/pb) |
|        |                        |              |             IsoL_v2(1) |                    |              |
| 166763 |    [46-168], [174-650] |  13.383(/pb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) | 669.131(/nb) |
|        |                        |              |                  v2(1) |                    |              |
| 166781 |   [41-111], [115-115], |   7.883(/pb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) |   7.883(/pb) |
|        |  [117-233], [236-253], |              |             IsoL_v2(1) |                    |              |
|        |              [255-382] |              |                        |                    |              |
| 166781 |   [41-111], [115-115], |   7.883(/pb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) | 394.170(/nb) |
|        |  [117-233], [236-253], |              |                  v2(1) |                    |              |
|        |              [255-382] |              |                        |                    |              |
| 166782 |                [1-569] |  11.875(/pb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) |  11.875(/pb) |
|        |                        |              |             IsoL_v2(1) |                    |              |
| 166782 |                [1-569] |  11.875(/pb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) | 593.738(/nb) |
|        |                        |              |                  v2(1) |                    |              |
